There are 1 devices!
The device 'mlx4_0' max mr size is 18446744073709551615 bytes.
The device 'mlx4_0' max_qp_wr is 16351.
The device 'mlx4_0' phys_port_cnt is 2.
The device 'mlx4_0' active_speed is 10.0 Gbps.
The device 'mlx4_0' max_mtu is IBV_MTU_4096.
The device 'mlx4_0' active_mtu is IBV_MTU_1024.
The device 'mlx4_0' link_layer is IBV_LINK_LAYER_ETHERNET.
Thread:	Id:	Size(MByte):	Time(ms):	Speed(Mbits/s):
5	57	58	        205.106995	4524.467773
9	47	48	        258.497009	2971.020996
4	59	60	        535.763000	1791.837036
8	49	50	        544.745972	1468.574341
6	54	55	        610.359985	1441.772095
7	52	53	        597.370972	1419.553345
9	48	49	        446.821991	1754.613770
3	62	63	        670.187988	1504.055542
5	58	59	        555.174011	1700.367798
8	50	51	        195.274002	4178.743652
4	60	61	        245.501007	3975.543701
7	53	54	        257.415009	3356.447754
6	55	56	        262.540009	3412.813232
9	49	50	        266.112000	3006.252930
5	59	60	        519.036011	1849.582764
8	51	52	        516.960999	1609.405762
3	63	64	        615.700989	1663.145020
4	61	62	        642.276001	1544.507324
9	50	51	        483.522003	1687.617065
7	54	55	        550.710999	1597.934326
6	56	57	        555.435974	1641.953491
5	60	61	        268.470001	3635.415527
8	52	53	        215.759003	3930.311035
4	62	63	        311.601990	3234.895752
9	51	52	        410.950012	2024.577148
7	55	56	        510.035004	1756.742310
6	57	58	        533.224976	1740.353516
8	53	54	        484.407013	1783.624023
5	61	62	        515.950012	1922.666870
4	63	64	        316.335999	3237.064209
9	52	53	        211.145004	4016.197510
7	56	57	        153.563995	5938.892090
8	54	55	        366.790009	2399.193115
6	58	59	        400.365997	2357.842529
9	53	54	        397.864990	2171.590820
5	62	63	        457.623993	2202.681641
7	57	58	        372.246002	2492.975098
8	55	56	        198.251999	4519.500488
6	59	60	        185.526993	5174.449219
9	54	55	        196.285995	4483.254395
7	58	59	        304.723999	3097.885254
5	63	64	        398.946991	2566.757080
8	56	57	        411.799988	2214.667236
6	60	61	        422.588989	2309.572754
9	55	56	        342.506012	2616.012451
7	59	60	        226.371994	4240.807617
8	57	58	        182.184006	5093.750977
9	56	57	        332.766998	2740.656250
6	61	62	        387.246002	2561.678955
7	60	61	        381.963013	2555.221191
8	58	59	        264.110992	3574.254883
9	57	58	        125.672997	7384.243652
6	62	63	        274.882996	3667.014648
7	61	62	        368.966003	2688.594482
8	59	60	        368.720001	2603.601562
9	58	59	        336.329010	2806.775391
6	63	64	        169.837997	6029.274902
7	62	63	        223.505005	4509.966309
8	60	61	        283.121002	3447.289551
9	59	60	        277.389008	3460.843506
7	63	64	        132.289993	7740.570312
9	60	61	        223.302994	4370.743164
8	61	62	        225.145996	4406.029785
9	61	62	        223.695999	4434.589844
8	62	63	        225.503998	4469.987305
9	62	63	        223.688995	4506.256836
8	63	64	        225.514008	4540.737793
9	63	64	        117.512001	8714.003906
